source,utt,tok_utt,season,episode,sr_number
Chandler,Good job Joe! Well done! Top notch!,"[Good, job, Joe, !, Well, done, !, Top, notch, !]",8,22,66
Joey,You liked it? You really liked it?,"[You, liked, it, ?, You, really, liked, it, ?]",8,22,67
Chandler,"Oh-ho-ho, yeah!","[Oh, -, ho, -, ho, ,, yeah, !]",8,22,68
Joey,Which part exactly?,"[Which, part, exactly, ?]",8,22,69
Chandler,The whole thing! Can we go?,"[The, whole, thing, !, Can, we, go, ?]",8,22,70
Joey,"Oh no-no-no, give me some specifics.","[Oh, no, -, no, -, no, ,, give, me, some, specifics, .]",8,22,71
Chandler,"I love the specifics, the specifics were the best part!","[I, love, the, specifics, ,, the, specifics, were, the, best, part, !]",8,22,72
Joey,"Hey, what about the scene with the kangaroo? Did-did you like that part?","[Hey, ,, what, about, the, scene, with, the, kangaroo, ?, Did, -, did, you, like, that, part, ?]",8,22,73
Chandler,I was surprised to see a kangaroo in a World War I epic.,"[I, was, surprised, to, see, a, kangaroo, in, a, World, War, I, epic, .]",8,22,74
Joey,You fell asleep!!,"[You, fell, asleep, !, !]",8,22,75
Joey,There was no kangaroo!,"[There, was, no, kangaroo, !]",8,22,76
Joey,They didn't take any of my suggestions!,"[They, did, n't, take, any, of, my, suggestions, !]",8,22,77
Joey,That's for coming buddy.,"[That, 's, for, coming, buddy, .]",8,22,78
Joey,I'll see you later.,"[I, 'll, see, you, later, .]",8,22,79
Chandler,Don't go!,"[Do, n't, go, !]",8,22,80
Chandler,I'm sorry.,"[I, 'm, sorry, .]",8,22,81
Chandler,I'm so sorry!,"[I, 'm, so, sorry, !]",8,22,82
Chandler,Look!,"[Look, !]",8,22,83
Chandler,This guy fell asleep!,"[This, guy, fell, asleep, !]",8,22,84
Chandler,He fell asleep too!,"[He, fell, asleep, too, !]",8,22,85
Chandler,Be mad at him!,"[Be, mad, at, him, !]",8,22,86
Chandler,"Or, call an ambulance.","[Or, ,, call, an, ambulance, .]",8,22,87
Joey,"Okay, look, I think we have to tell Rachel she messed up her dessert.","[Okay, ,, look, ,, I, think, we, have, to, tell, Rachel, she, messed, up, her, dessert, .]",6,9,88
Ross,"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!","[What, ?, !, What, is, with, everybody, ?, It, 's, Thanksgiving, ,, not, ..., Truth, -, Day, !]",6,9,89
Phoebe,"Yes, and it is my dying wish to have that ring.","[Yes, ,, and, it, is, my, dying, wish, to, have, that, ring, .]",6,23,90
Phoebe,"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity","[See, ,, if, I, 'm, not, buried, with, that, ring, then, my, spirit, is, going, to, wander, the, nether, world, for, all, eternity]",6,23,91
Chandler,"Okay, that's enough honey!","[Okay, ,, that, 's, enough, honey, !]",6,23,92
Customer,I don't know.  Let me see the ring.,"[I, do, n't, know, .,  , Let, me, see, the, ring, .]",6,23,93
Chandler,"Great! Okay, here.","[Great, !, Okay, ,, here, .]",6,23,94
Customer,All right.,"[All, right, .]",6,23,95
Chandler,Thank you. Thank you. Thank you!  And,"[Thank, you, ., Thank, you, ., Thank, you, !,  , And]",6,23,96
Chandler,What've you been up to?,"[What, 've, you, been, up, to, ?]",2,5,97
Jade,"Oh, you know, the usual, teaching aerobics, partying way too much.","[Oh, ,, you, know, ,, the, usual, ,, teaching, aerobics, ,, partying, way, too, much, .]",2,5,98
Jade,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.","[Oh, ,, and, in, case, you, were, wondering, ,, those, are, my, legs, on, the, new, James, Bond, poster, .]",2,5,99
Chandler,Can you hold on a moment? I have another call.  I love her.,"[Can, you, hold, on, a, moment, ?, I, have, another, call, .,  , I, love, her, .]",2,5,100
Ross,I know.,"[I, know, .]",2,5,101
Chandler,I'm back.,"[I, 'm, back, .]",2,5,102
Jade,"So, are we gonna get together or what?","[So, ,, are, we, gon, na, get, together, or, what, ?]",2,5,103
Chandler,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?","[Um, ,, absolutely, ., Uh, ,, how, 'bout, tomorrow, afternoon, ?, Do, you, know, uh, ,, Central, Perk, in, the, Village, ,, say, ,, five, -, ish, ?]",2,5,104
Jade,"Great, I'll see you then.","[Great, ,, I, 'll, see, you, then, .]",2,5,105
Chandler,Ok.  Ok. Having a phone has finally paid off.,"[Ok, .,  , Ok, ., Having, a, phone, has, finally, paid, off, .]",2,5,106
Ross,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""","[Even, though, you, do, do, a, good, Bob, impression, ,, I, 'm, thinkin, ', when, she, sees, you, tomorow, ,, she, 's, probably, gon, na, realize, ,, "", Hey, ,, you, 're, not, Bob, ., ""]",2,5,107
Chandler,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.","[I, 'm, hoping, that, when, Bob, does, n't, show, up, ,, she, will, seek, comfort, in, the, open, arms, of, the, wry, stranger, at, the, next, table, .]",2,5,108
Ross,Oh my god. You are pure evil.,"[Oh, my, god, ., You, are, pure, evil, .]",2,5,109
Chandler,"Ok, pure evil , horny and alone . I've done this","[Ok, ,, pure, evil, ,, horny, and, alone, ., I, 've, done, this]",2,5,110
Phoebe,Nobody!,"[Nobody, !]",5,10,111
Phoebe,Nobody respects the bucket!,"[Nobody, respects, the, bucket, !]",5,10,112
Phoebe,You wouldn't believe what people put in here!,"[You, would, n't, believe, what, people, put, in, here, !]",5,10,113
Phoebe,Look!,"[Look, !]",5,10,114
Phoebe,"Okay, does this look like a garbage can to you?","[Okay, ,, does, this, look, like, a, garbage, can, to, you, ?]",5,10,115
Monica,No.,"[No, .]",5,10,116
Ross,This is my wedding.,"[This, is, my, wedding, .]",4,23,117
Monica,"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!","[All, right, ,, y'know, what, ?, We, really, are, late, !, Let, 's, go, !, Let, 's, go, !, Let, 's, go, !, !]",4,23,118
Ross,Fine. You'll-you'll watch it on video when we get back.,"[Fine, ., You'll, -, you'll, watch, it, on, video, when, we, get, back, .]",4,23,119
Chandler,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,"[Here, you, go, Phoebe, !, Here, you, go, Phobo, !, Phewbedo, !, Phaybobo, .]",4,23,120
Phoebe,Thank you.,"[Thank, you, .]",4,23,121
Phoebe,Thank you.,"[Thank, you, .]",4,23,122
Ross,"All right, let's go! Bye, Pheebs!","[All, right, ,, let, 's, go, !, Bye, ,, Pheebs, !]",4,23,123
Joey,"Bye, Pheebs!","[Bye, ,, Pheebs, !]",4,23,124
Joey,London baby!!,"[London, baby, !, !]",4,23,125
Phoebe,"Oh, do you need a hug? You don't have to bring me anything!","[Oh, ,, do, you, need, a, hug, ?, You, do, n't, have, to, bring, me, anything, !]",4,23,126
Chandler,Hey!,"[Hey, !]",6,4,127
Joey,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,"[Hey, !, So, Estelle, lined, up, a, bunch, of, auditions, for, me, tomorrow, and, I, 'll, have, my, health, insurance, back, in, no, time, .]",6,4,128
Chandler,"That's great, but shouldn't you be on the toilet right now?","[That, 's, great, ,, but, should, n't, you, be, on, the, toilet, right, now, ?]",6,4,129
Joey,What?!,"[What, ?, !]",6,4,130
Chandler,What's wrong with you?,"[What, 's, wrong, with, you, ?]",6,4,131
Joey,Nothing!,"[Nothing, !]",6,4,132
Joey,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.","[Well, ,, I, -, I, got, this, blinding, pain, in, my, stomach, when, I, was, lifting, weights, before, ,, then, I, uh, passed, out, and, uh, ,, have, n't, been, able, to, stand, up, since, .]",6,4,133
Joey,"But um, I don't think it's anything serious.","[But, um, ,, I, do, n't, think, it, 's, anything, serious, .]",6,4,134
Chandler,This sounds like a hernia. You have to-you-you go to the doctor!,"[This, sounds, like, a, hernia, ., You, have, to, -, you, -, you, go, to, the, doctor, !]",6,4,135
Joey,"No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!","[No, way, !, ', Kay, look, ,, if, I, have, to, go, to, the, doctor, for, anything, it, 's, gon, na, be, for, this, thing, sticking, out, of, my, stomach, !]",6,4,136
Chandler,That's a hernia.,"[That, 's, a, hernia, .]",6,4,137
Joey,Why did I have to start working out again?  Damn you 15s!,"[Why, did, I, have, to, start, working, out, again, ?,  , Damn, you, 15s, !]",6,4,138
Mona,I love your place! Where is this guy from?,"[I, love, your, place, !, Where, is, this, guy, from, ?]",8,8,139
Ross,Uh that's an eighteenth century Indian artifact from Calcutta.,"[Uh, that, 's, an, eighteenth, century, Indian, artifact, from, Calcutta, .]",8,8,140
Mona,"Oh wow! So, you're more than just dinosaurs.","[Oh, wow, !, So, ,, you, 're, more, than, just, dinosaurs, .]",8,8,141
Ross,So much more.,"[So, much, more, .]",8,8,142
Ross,"Well, well to sum up, we're having fun, you look young.","[Well, ,, well, to, sum, up, ,, we, 're, having, fun, ,, you, look, young, .]",8,11,143
Mona,Okay,[Okay],8,11,144
Ross,But that's not enough. So... So...here's a key to my apartment.,"[But, that, 's, not, enough, ., So, ..., So, ..., here, 's, a, key, to, my, apartment, .]",8,11,145
Mona,Really?!,"[Really, ?, !]",8,11,146
Ross,Really.,"[Really, .]",8,11,147
Mona,You don't think this is too fast.,"[You, do, n't, think, this, is, too, fast, .]",8,11,148
Ross,Get Out!,"[Get, Out, !]",9,23,149
Charlie,"Ross, can I talk to you for a minute?","[Ross, ,, can, I, talk, to, you, for, a, minute, ?]",9,23,150
Ross,"Yes, please!  So, what's going on?","[Yes, ,, please, !,  , So, ,, what, 's, going, on, ?]",9,23,151
Charlie,"Uh, well... Joey and I broke up.","[Uh, ,, well, ..., Joey, and, I, broke, up, .]",9,23,152
Ross,"Oh my God, wh-what happened?","[Oh, my, God, ,, wh, -, what, happened, ?]",9,23,153
Charlie,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!","[Joey, is, a, great, guy, ,, but, we, 're, just, ..., so, different, !, I, mean, ,, during, your, speech, he, kept, laughing, at, homo, erectus, !]",9,23,154
Ross,I knew that was him!,"[I, knew, that, was, him, !]",9,23,155
Charlie,"Anyway I just, uh, I think it's for the best.","[Anyway, I, just, ,, uh, ,, I, think, it, 's, for, the, best, .]",9,23,156
Ross,"Hey, you ok?","[Hey, ,, you, ok, ?]",9,23,157
Charlie,I guess.,"[I, guess, .]",9,23,158
Charlie,There was hum...  there was another reason that I thought it was time to end it with Joey.,"[There, was, hum, ...,  , there, was, another, reason, that, I, thought, it, was, time, to, end, it, with, Joey, .]",9,23,159
Charlie,I started to realize that I was having feelings for someone  else.,"[I, started, to, realize, that, I, was, having, feelings, for, someone,  , else, .]",9,23,160
Paleontologist,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.","[Ok, Geller, ., Last, day, of, the, conference, ,, you, know, what, happens, to, the, keynote, speaker, .]",9,23,161
Ross,"Oh, professor Clerk we're kind of in the middle of a conversation, here.","[Oh, ,, professor, Clerk, we, 're, kind, of, in, the, middle, of, a, conversation, ,, here, .]",9,23,162
Charlie,"Yeah, can you guys just throw him in the pool later?","[Yeah, ,, can, you, guys, just, throw, him, in, the, pool, later, ?]",9,23,163
Professore Clerk,Or we could throw you both in,"[Or, we, could, throw, you, both, in]",9,23,164
Ross,"Ok, gentlemen!","[Ok, ,, gentlemen, !]",9,23,165
Ross,Please!,"[Please, !]",9,23,166
Ross,Aren't we a little old for this?,"[Are, n't, we, a, little, old, for, this, ?]",9,23,167
Ross,"I mean, we're scientists, right?","[I, mean, ,, we, 're, scientists, ,, right, ?]",9,23,168
Ross,We're academics.,"[We, 're, academics, .]",9,23,169
Ross,And most importantly I... you-you will have to catch us first.,"[And, most, importantly, I, ..., you, -, you, will, have, to, catch, us, first, .]",9,23,170
Ross,"GO, GO, GO!","[GO, ,, GO, ,, GO, !]",9,23,172
Ross,"Go, go, go!","[Go, ,, go, ,, go, !]",3,25,173
Rachel,"Oh yeah, now everybody wants to be under this hat!","[Oh, yeah, ,, now, everybody, wants, to, be, under, this, hat, !]",3,25,174
Phoebe,Oy!!,"[Oy, !, !]",3,25,175
Monica,What's with all this sand?,"[What, 's, with, all, this, sand, ?]",3,25,176
Phoebe,"Oh, yeah, Bob said there might be flood damage.","[Oh, ,, yeah, ,, Bob, said, there, might, be, flood, damage, .]",3,25,177
Ross,"Yeah, either that, or he has a really big cat.","[Yeah, ,, either, that, ,, or, he, has, a, really, big, cat, .]",3,25,178
Joey,"Okay, see that blind guy right there? I'm gonna bash his head in later.","[Okay, ,, see, that, blind, guy, right, there, ?, I, 'm, gon, na, bash, his, head, in, later, .]",5,19,179
Joey,"Oh umm, my big scene is coming up. Big scene coming up.","[Oh, umm, ,, my, big, scene, is, coming, up, ., Big, scene, coming, up, .]",5,19,180
Chandler,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?","[If, you, said, ,, "", Big, lima, bean, ,, bubbling, up, ., "", Would, she, understand, the, difference, ?]",5,19,181
Monica,Rach? What are you doing?,"[Rach, ?, What, are, you, doing, ?]",5,19,182
Rachel,"Oh boy, I just can't watch. It's too scary!","[Oh, boy, ,, I, just, ca, n't, watch, ., It, 's, too, scary, !]",5,19,183
Monica,It's a diaper commercial.,"[It, 's, a, diaper, commercial, .]",5,19,184
Rachel,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!","[Oh, yeah, well, ,, you, know, me, ,, babies, ,, responsibilities, ,, ahhh, !, !, !]",5,19,185
Caitlin,Pizza delivery!,"[Pizza, delivery, !]",5,19,186
Ross,I'll get it! I will get that!,"[I, 'll, get, it, !, I, will, get, that, !]",5,19,187
Caitlin,Hi!,"[Hi, !]",5,19,188
Ross,Hi!,"[Hi, !]",5,19,189
Ross,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?","[Hey, ,, you, wanna, get, something, to, eat, or, uh, ,, do, you, wanna, see, how, long, we, can, throw, this, ball, back, and, forth, ?, Huh, ?]",5,21,190
Joey,"Uhh, the ball thing.","[Uhh, ,, the, ball, thing, .]",5,21,191
Ross,Yeah?,"[Yeah, ?]",5,21,192
Joey,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!","[Hey, Ross, ,, would, n't, it, be, great, if, we, could, go, two, straight, hours, without, dropping, it, ?, !]",5,21,193
Ross,"Uhh,","[Uhh, ,]",5,21,194
Joey,Okay!,"[Okay, !]",5,21,195
Joey,Uh-oh.,"[Uh, -, oh, .]",5,21,196
Ross,What?,"[What, ?]",5,21,197
Joey,I have to pee. And Rachel's in the bathroom!,"[I, have, to, pee, ., And, Rachel, 's, in, the, bathroom, !]",5,21,198
Joey,"Man, I didn't think we were gonna make it!","[Man, ,, I, did, n't, think, we, were, gon, na, make, it, !]",5,21,199
Ross,"I know!  Don't switch hands, okay?","[I, know, !,  , Do, n't, switch, hands, ,, okay, ?]",5,21,200
Joey,Hey.,"[Hey, .]",1,1,201
Phoebe,Hey!,"[Hey, !]",1,1,202
Rachel,How did it go with Erin?,"[How, did, it, go, with, Erin, ?]",7,7,203
Joey,"Oh, unbelievable! We had the best time!","[Oh, ,, unbelievable, !, We, had, the, best, time, !]",7,7,204
Phoebe,"Yay!! Oh so, you're not, you're not mad at us anymore?","[Yay, !, !, Oh, so, ,, you, 're, not, ,, you, 're, not, mad, at, us, anymore, ?]",7,7,205
Joey,No!,"[No, !]",7,7,206
Joey,No!,"[No, !]",7,7,207
Joey,No!,"[No, !]",7,7,208
Joey,You guys were totally right!,"[You, guys, were, totally, right, !]",7,7,209
Joey,This is so much better than the first time we went out.,"[This, is, so, much, better, than, the, first, time, we, went, out, .]",7,7,210
Joey,Y'know?,"[Y'know, ?]",7,7,211
Joey,"That was so awkward, we were really nervous.","[That, was, so, awkward, ,, we, were, really, nervous, .]",7,7,212
Phoebe,Didn't you sleep together?,"[Did, n't, you, sleep, together, ?]",7,7,213
Joey,"Yeah, that really calms me down.","[Yeah, ,, that, really, calms, me, down, .]",7,7,214
Joey,And!,"[And, !]",7,7,215
Joey,We have so much in common!,"[We, have, so, much, in, common, !]",7,7,216
Joey,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a","[She, loves, sandwiches, ,, sports, ,, although, she, is, a, Met, fan, ,, not, much, of, an, issue, now, but, if, we, were, ever, to, have, kids, ,, well, that, 's, a]",7,7,217
Rachel,"Oh my God! Listen to you talkin' about having kids. Oh my Joey.  Oh, please don't get married before I do.","[Oh, my, God, !, Listen, to, you, talkin, ', about, having, kids, ., Oh, my, Joey, .,  , Oh, ,, please, do, n't, get, married, before, I, do, .]",7,7,218
Joey,Okay.,"[Okay, .]",7,7,219
Monica,How does she do that?,"[How, does, she, do, that, ?]",1,4,220
Ross,I cannot sleep in a public place.,"[I, can, not, sleep, in, a, public, place, .]",1,4,221
Monica,Would you look at her? She is so peaceful.,"[Would, you, look, at, her, ?, She, is, so, peaceful, .]",1,4,222
Phoebe,Oh! What what what! ...Hi.,"[Oh, !, What, what, what, !, ..., Hi, .]",1,4,223
Ross,"It's okay, y'know, you just nodded off again.","[It, 's, okay, ,, y'know, ,, you, just, nodded, off, again, .]",1,4,224
Monica,What's going on with you?,"[What, 's, going, on, with, you, ?]",1,4,225
Phoebe,I got no sleep last night!,"[I, got, no, sleep, last, night, !]",1,4,226
Ross,Why?,"[Why, ?]",1,4,227
Phoebe,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.","[My, grandmother, has, this, new, boyfriend, ,, and, they, 're, both, kind, of, insecure, in, bed, .]",1,4,228
Phoebe,"Oh, and deaf.","[Oh, ,, and, deaf, .]",1,4,229
Phoebe,"So they're constantly, like, having to reassure each other that they're having a good time.","[So, they, 're, constantly, ,, like, ,, having, to, reassure, each, other, that, they, 're, having, a, good, time, .]",1,4,230
Phoebe,You have no idea how loud they are!,"[You, have, no, idea, how, loud, they, are, !]",1,4,231
Monica,"Well, if you want, you can stay with Rachel and me tonight.","[Well, ,, if, you, want, ,, you, can, stay, with, Rachel, and, me, tonight, .]",1,4,232
Phoebe,Thanks.,"[Thanks, .]",1,4,233
Joey,Ew! What is that? Something exploded!,"[Ew, !, What, is, that, ?, Something, exploded, !]",1,23,234
Nurse,"It's just her water breaking. Calm down, will you?","[It, 's, just, her, water, breaking, ., Calm, down, ,, will, you, ?]",1,23,235
Joey,"Water breaking, what do you mean? What's that, water breaking?","[Water, breaking, ,, what, do, you, mean, ?, What, 's, that, ,, water, breaking, ?]",1,23,236
Nurse,"Breathe, breathe, breathe.","[Breathe, ,, breathe, ,, breathe, .]",1,23,237
Monica,"Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead.","[Are, you, insane, ?, I, mean, Joey, ,, is, going, to, kill, you, ,, he, 's, actually, going, to, kill, you, dead, .]",3,11,238
Chandler,Okay! You don't think I thought of that?,"[Okay, !, You, do, n't, think, I, thought, of, that, ?]",3,11,239
Phoebe,How can you not know which one?,"[How, can, you, not, know, which, one, ?]",3,11,240
Rachel,I mean that's unbelievable.,"[I, mean, that, 's, unbelievable, .]",3,11,241
Monica,"I mean, was it Gina?","[I, mean, ,, was, it, Gina, ?]",3,11,242
Ross,Which one is Gina?,"[Which, one, is, Gina, ?]",3,11,243
Rachel,"Dark, big hair, with the airplane earrings.","[Dark, ,, big, hair, ,, with, the, airplane, earrings, .]",3,11,244
Monica,"No, no, no, that's Dina.","[No, ,, no, ,, no, ,, that, 's, Dina, .]",3,11,245
Chandler,"You see you can't tell which one is which either, dwha!!","[You, see, you, ca, n't, tell, which, one, is, which, either, ,, dwha, !, !]",3,11,246
Rachel,"I don't know, you thought 'See you Saturday' was funny.","[I, do, n't, know, ,, you, thought, ', See, you, Saturday, ', was, funny, .]",3,14,247
Rachel,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.","[Look, honey, ,, Mark, is, in, fashion, okay, ,, I, like, having, a, friend, that, I, can, share, this, stuff, with, .]",3,14,248
Rachel,You guys would never want to go to a lecture with me.,"[You, guys, would, never, want, to, go, to, a, lecture, with, me, .]",3,14,249
Ross,Pa-haa!! I would love to go with you.,"[Pa, -, haa, !, !, I, would, love, to, go, with, you, .]",3,14,250
Rachel,Really!?,"[Really, !, ?]",3,14,251
Ross,"Yeah, hey I-I have clothes, I even pick them out.","[Yeah, ,, hey, I, -, I, have, clothes, ,, I, even, pick, them, out, .]",3,14,252
Ross,"I mean for, for all you know I could be a fashion..... monger.","[I, mean, for, ,, for, all, you, know, I, could, be, a, fashion, ....., monger, .]",3,14,253
Rachel,"Okay. Honey, I would love for you to go with me.  What?","[Okay, ., Honey, ,, I, would, love, for, you, to, go, with, me, .,  , What, ?]",3,14,254
Ross,"What should I wear, now I'm all nervous.","[What, should, I, wear, ,, now, I, 'm, all, nervous, .]",3,14,255
Mr. Treeger,": I know, we did it!! Hey, that was incredible, huh?!","[:, I, know, ,, we, did, it, !, !, Hey, ,, that, was, incredible, ,, huh, ?, !]",4,4,256
Joey,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.","[I, know, ,, it, was, amazing, !, I, mean, ,, we, totally, nailed, it, ,, it, was, beautiful, .]",4,4,257
Mr. Treeger,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.","[:, Thank, you, ,, listen, ,, thanks, a, lot, Tribbiani, ,, ., Oh, my, God, ,, look, at, the, time, ,, I, got, ta, catch, the, bus, to, the, ball, .]",4,4,258
Joey,"Oh well, okay, good luck.","[Oh, well, ,, okay, ,, good, luck, .]",4,4,259
